epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.6128,0.34323,1,1,0.00273,0.000543844,0.000543844,0.000543844
2,117.099,0.02474,1,1,1e-05,0.00105597,0.00105597,0.00105597
3,167.735,0.0057,1,1,1e-05,0.00152409,0.00152409,0.00152409
4,303.6,0.00619,1,1,0,0.00146896,0.00146896,0.00146896
5,396.713,0.00259,1,1,0,0.00140295,0.00140295,0.00140295
6,454.409,0.01643,1,1,1e-05,0.00133693,0.00133693,0.00133693
7,508.254,0.00654,1,1,0,0.00127092,0.00127092,0.00127092
8,562.661,0.00888,1,1,1e-05,0.00120491,0.00120491,0.00120491
9,660.799,0.00157,1,1,2e-05,0.00113889,0.00113889,0.00113889
10,714.359,0.00273,1,1,0,0.00107288,0.00107288,0.00107288
11,770.486,0.00034,1,1,0,0.00100687,0.00100687,0.00100687
12,827.325,0.00423,1,1,0,0.000940855,0.000940855,0.000940855
13,883.654,0.00119,1,1,0,0.000874842,0.000874842,0.000874842
14,939.32,0.00048,1,1,0,0.000808828,0.000808828,0.000808828
15,994.877,0.00287,1,1,0,0.000742815,0.000742815,0.000742815
16,1050.61,0.00583,1,1,0,0.000676802,0.000676802,0.000676802
17,1106.23,0.00474,1,1,0,0.000610789,0.000610789,0.000610789
18,1162.7,0.00058,1,1,0,0.000544776,0.000544776,0.000544776
19,1218.85,0.0016,1,1,0,0.000478762,0.000478762,0.000478762
20,1274.85,0.00158,1,1,0,0.000412749,0.000412749,0.000412749
21,1330.71,0.00111,1,1,0,0.000346736,0.000346736,0.000346736
22,1386.04,0.00096,1,1,0,0.000280723,0.000280723,0.000280723
23,1442.09,0.00895,1,1,0,0.00021471,0.00021471,0.00021471
24,1504.05,0.00068,1,1,0,0.000148696,0.000148696,0.000148696
25,1560.58,0.00212,1,1,0,8.26832e-05,8.26832e-05,8.26832e-05
