epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49585,1.36642,2.43444,1.57193,0.00517,1,0.81731,0.4791,0.75586,2.48742,1.08052,0.000651852,0.000651852,0.000651852
2,17.2059,1.23916,2.03522,1.47999,0.00421,1,0.8832,0.36646,0.84545,2.45655,1.15724,0.00127501,0.00127501,0.00127501
3,26.0116,1.06482,1.79703,1.34056,0.94231,0.92308,0.97853,0.66877,1.0964,1.83387,1.37181,0.00185416,0.00185416,0.00185416
4,34.3451,1.16334,1.83669,1.44298,0.92128,1,0.95143,0.42001,1.92475,1.66764,2.10559,0.001802,0.001802,0.001802
5,42.0624,1.46364,1.66973,1.67764,0.92128,1,0.95143,0.42001,1.92475,1.66764,2.10559,0.001736,0.001736,0.001736
6,50.5795,1.45626,1.70216,1.65006,0.55781,0.8742,0.72475,0.28238,1.35441,2.42724,1.5056,0.00167,0.00167,0.00167
7,58.5466,1.44205,1.65778,1.64552,0.84539,1,0.9625,0.73333,1.0167,1.48662,1.24508,0.001604,0.001604,0.001604
8,66.6559,1.15797,1.39658,1.44719,0.84539,1,0.9625,0.73333,1.0167,1.48662,1.24508,0.001538,0.001538,0.001538
9,75.0785,1.20063,1.39634,1.47125,0.99076,1,0.995,0.75384,0.88519,1.48791,1.08214,0.001472,0.001472,0.001472
10,83.3262,1.07937,1.23511,1.36068,0.92658,0.84615,0.97572,0.65782,1.2655,1.56003,1.38075,0.001406,0.001406,0.001406
11,92.1657,1.01965,1.23896,1.3147,0.86318,0.97185,0.98567,0.74804,0.82996,1.71301,1.00044,0.00134,0.00134,0.00134
12,100.578,1.02519,1.20723,1.32687,0.86318,0.97185,0.98567,0.74804,0.82996,1.71301,1.00044,0.001274,0.001274,0.001274
13,109.336,0.88051,1.13542,1.25096,0.9657,1,0.995,0.78301,0.71211,1.72214,0.93658,0.001208,0.001208,0.001208
14,118.221,0.94536,1.29644,1.30388,0.99077,1,0.995,0.81383,0.73604,1.69971,0.96673,0.001142,0.001142,0.001142
15,127.041,0.89357,1.04298,1.2815,0.99077,1,0.995,0.81383,0.73604,1.69971,0.96673,0.001076,0.001076,0.001076
16,135.713,0.85989,1.04713,1.24736,0.99316,1,0.995,0.77467,0.8595,1.16887,1.04364,0.00101,0.00101,0.00101
17,144.327,0.94582,1.08539,1.26474,0.99107,1,0.995,0.81716,0.72289,1.17333,0.95215,0.000944,0.000944,0.000944
18,153.073,0.78042,1.06363,1.18505,0.99107,1,0.995,0.81716,0.72289,1.17333,0.95215,0.000878,0.000878,0.000878
19,162.383,0.90797,1.09949,1.25416,0.98981,1,0.995,0.83877,0.69399,1.22096,0.93352,0.000812,0.000812,0.000812
20,171.422,0.87091,0.9879,1.25949,0.99562,1,0.995,0.81201,0.78542,1.45087,1.0164,0.000746,0.000746,0.000746
21,179.938,0.64743,1.05365,1.14378,0.9955,1,0.995,0.7954,0.82314,1.17897,1.03458,0.00068,0.00068,0.00068
22,187.984,0.64051,0.89336,1.08293,0.9955,1,0.995,0.7954,0.82314,1.17897,1.03458,0.000614,0.000614,0.000614
23,195.583,0.54297,0.87698,1.00324,0.99629,1,0.995,0.80461,0.79853,1.04566,1.00303,0.000548,0.000548,0.000548
24,204.186,0.58146,0.80788,1.01884,0.99611,1,0.995,0.80664,0.71768,1.2862,0.9557,0.000482,0.000482,0.000482
25,213.043,0.56604,0.74508,1.07134,0.99611,1,0.995,0.80664,0.71768,1.2862,0.9557,0.000416,0.000416,0.000416
26,221.746,0.51567,0.72978,1.0064,0.99595,1,0.995,0.80305,0.73283,1.11759,0.95914,0.00035,0.00035,0.00035
27,231.224,0.52866,0.73183,0.9924,0.99565,1,0.995,0.81671,0.66604,1.08092,0.90764,0.000284,0.000284,0.000284
28,239.795,0.54477,0.69287,1.03795,0.99565,1,0.995,0.81671,0.66604,1.08092,0.90764,0.000218,0.000218,0.000218
29,248.184,0.52299,0.71175,0.96379,0.99574,1,0.995,0.8221,0.6683,0.98464,0.9067,0.000152,0.000152,0.000152
30,256.649,0.48917,0.66216,1.03353,0.99586,1,0.995,0.83298,0.64531,0.88598,0.89497,8.6e-05,8.6e-05,8.6e-05
